Condition,RedToyReward,YellowToyReward,LearnC,LearnR,DiscoverC,DiscoverR,ExploreProb,Decision
1: R&C,1,1,0,0,1,1,0.3,YellowToy
1: R&C,1,1,1,1,0,0,0.3,RedToy
1: R&C,1,1,1,1,1,1,0.3,YellowToy
1: R&C,1,1,1,0,1,0,0.3,YellowToy
1: R&C,1,1,0,1,0,1,0.3,Either
2: Diff. R,1,1,0,0,1,1,0.3,Either
2: Diff. R,1,1,1,1,0,0,0.3,Either
2: Diff. R,1,1,1,1,1,1,0.3,Either
2: Diff. R,1,1,1,0,1,0,0.3,Either
2: Diff. R,1,1,0,1,0,1,0.3,Either
3: Diff. C,1,1,0,0,1,1,0.3,YellowToy
3: Diff. C,1,1,1,1,0,0,0.3,RedToy
3: Diff. C,1,1,1,1,1,1,0.3,YellowToy
3: Diff. C,1,1,1,0,1,0,0.3,YellowToy
3: Diff. C,1,1,0,1,0,1,0.3,Either
4: RvC,1,1,0,0,1,1,0.3,YellowToy
4: RvC,1,1,1,1,0,0,0.3,RedToy
4: RvC,1,1,1,1,1,1,0.3,YellowToy
4: RvC,1,1,1,0,1,0,0.3,YellowToy
4: RvC,1,1,0,1,0,1,0.3,Either
1: R&C,1,1,0,0,1,1,0.5,YellowToy
1: R&C,1,1,1,1,0,0,0.5,RedToy
1: R&C,1,1,1,1,1,1,0.5,YellowToy
1: R&C,1,1,1,0,1,0,0.5,YellowToy
1: R&C,1,1,0,1,0,1,0.5,Either
2: Diff. R,1,1,0,0,1,1,0.5,Either
2: Diff. R,1,1,1,1,0,0,0.5,Either
2: Diff. R,1,1,1,1,1,1,0.5,Either
2: Diff. R,1,1,1,0,1,0,0.5,Either
2: Diff. R,1,1,0,1,0,1,0.5,Either
3: Diff. C,1,1,0,0,1,1,0.5,YellowToy
3: Diff. C,1,1,1,1,0,0,0.5,RedToy
3: Diff. C,1,1,1,1,1,1,0.5,YellowToy
3: Diff. C,1,1,1,0,1,0,0.5,YellowToy
3: Diff. C,1,1,0,1,0,1,0.5,Either
4: RvC,1,1,0,0,1,1,0.5,YellowToy
4: RvC,1,1,1,1,0,0,0.5,RedToy
4: RvC,1,1,1,1,1,1,0.5,YellowToy
4: RvC,1,1,1,0,1,0,0.5,YellowToy
4: RvC,1,1,0,1,0,1,0.5,Either
1: R&C,1,1,0,0,1,1,0.7,YellowToy
1: R&C,1,1,1,1,0,0,0.7,RedToy
1: R&C,1,1,1,1,1,1,0.7,YellowToy
1: R&C,1,1,1,0,1,0,0.7,YellowToy
1: R&C,1,1,0,1,0,1,0.7,Either
2: Diff. R,1,1,0,0,1,1,0.7,Either
2: Diff. R,1,1,1,1,0,0,0.7,Either
2: Diff. R,1,1,1,1,1,1,0.7,Either
2: Diff. R,1,1,1,0,1,0,0.7,Either
2: Diff. R,1,1,0,1,0,1,0.7,Either
3: Diff. C,1,1,0,0,1,1,0.7,YellowToy
3: Diff. C,1,1,1,1,0,0,0.7,RedToy
3: Diff. C,1,1,1,1,1,1,0.7,YellowToy
